dam,obs_datetime,rwl_m,dev_24h_m,nhwl_m,dev_nhwl_m,rule_curve_m,dev_rule_curve_m,gates,gate_opening_m,inflow_cms,outflow_cms,scraped_at,source
Ambuklao,2021-09-22T06:00,751.88,0.06,752.0,-0.12,745.0,6.88,,,,,2021-09-23T21:36:42,wayback
Ambuklao,2021-09-23T06:00,751.94,0.06,752.0,-0.06,745.0,6.94,,,,,2021-09-23T21:36:42,wayback
Ambuklao,2021-09-26T06:00,751.43,0.1,752.0,-0.57,745.0,6.43,,,,,2021-09-27T12:46:44,wayback
Ambuklao,2021-09-27T06:00,751.53,0.1,752.0,-0.47,745.0,6.53,,,,,2021-09-27T12:46:44,wayback
Ambuklao,2021-10-22T06:00,751.14,-0.15,752.0,-0.86,748.06,3.08,,,,,2021-10-23T10:54:56,wayback
Ambuklao,2021-10-23T06:00,750.99,-0.15,752.0,-1.01,748.5,2.49,,,,,2021-10-23T10:54:56,wayback
Ambuklao,2021-10-24T06:00,751.27,0.28,752.0,-0.73,748.94,2.33,,,,,2021-10-24T12:36:31,wayback
Ambuklao,2021-11-01T06:00,751.0,0.1,752.0,-1.0,752.0,-1.0,,,,,2021-11-02T13:56:17,wayback
Ambuklao,2021-11-02T06:00,751.1,0.1,752.0,-0.9,752.0,-0.9,,,,,2021-11-02T13:56:17,wayback
Ambuklao,2021-11-16T06:00,750.47,-0.07,752.0,-1.53,752.0,-1.53,,,,,2021-11-17T10:54:47,wayback
Ambuklao,2021-11-17T06:00,750.4,-0.07,752.0,-1.6,752.0,-1.6,,,,,2021-11-17T10:54:47,wayback
Ambuklao,2021-12-21T06:00,748.02,-0.26,752.0,-3.98,752.0,-3.98,,,,,2021-12-22T18:20:32,wayback
Ambuklao,2021-12-22T06:00,747.76,-0.26,752.0,-4.24,752.0,-4.24,,,,,2021-12-22T18:20:32,wayback
Ambuklao,2021-12-28T06:00,749.03,0.37,752.0,-2.97,752.0,-2.97,,,,,2021-12-29T04:37:48,wayback
Ambuklao,2021-12-29T06:00,749.4,0.37,752.0,-2.6,752.0,-2.6,,,,,2021-12-29T04:37:48,wayback
Ambuklao,2022-01-09T06:00,748.44,-0.96,752.0,-3.56,752.0,-3.56,,,,,2022-01-10T01:34:09,wayback
